Numero;price;km;Gears;age;Previous_Owners;hp_kW;Inspection_new;Displacement_cc;Weight_kg;cons_comb
1;15770;56013;7;3;2;66;1;1422;1220;3.8
2;14500;80000;7;2;1;141;0;1798;1255;5.6
3;14640;83450;7;3;1;85;0;1598;1135;3.8
4;14500;73000;6;3;1;66;0;1422;1195;3.8
5;16790;16200;7;3;1;66;1;1422;1135;4.1
6;15090;63668;7;3;1;85;0;1598;1135;3.5
7;16422;62111;7;3;1;85;1;1598;1195;3.7
8;14480;14986;7;3;1;66;1;1422;1180;3.7
9;16700;57000;7;3;1;85;0;1598;1275;3.7
10;17990;16103;7;2;1;70;0;999;1135;4.2
11;18500;11300;7;1;1;85;0;1598;1250;4
12;17990;26415;7;3;1;92;1;1395;1135;4.9
13;18380;31600;7;3;1;92;0;1395;1135;4.9
14;18399;45764;7;3;1;112;0;1395;1135;4.2
15;17990;34914;7;3;1;70;0;999;1135;4.2
16;18700;27000;7;3;1;85;0;1598;1275;3.7
17;18900;9752;5;1;1;85;0;1598;1175;3.5
18;18500;28408;7;2;1;66;0;1422;1220;3.8
19;18400;50280;7;3;1;70;0;999;1065;4.5
20;18500;13406;7;1;1;85;0;1598;1135;3.8
21;18500;51160;7;2;1;85;0;1598;1275;4
22;18500;15850;7;3;1;92;1;1395;1180;4.9
23;18900;17000;7;3;1;92;0;1395;1190;4.9
24;18850;9077;7;1;1;85;0;1598;1630;3.7
25;18500;3000;7;1;1;70;0;999;1165;4.4
26;8999;115000;5;3;1;70;0;999;1135;4.2
27;11444;84029;5;3;1;70;1;999;1180;4.2
28;11300;67800;5;3;1;70;0;999;1135;4.2
29;18900;14556;7;1;1;66;0;1422;1135;4.3
30;11290;22000;5;3;1;70;0;999;1180;4.4
31;11290;38400;5;3;1;66;0;1422;1195;3
32;11440;83307;5;3;1;66;0;1422;1195;3.6
33;11445;39668;5;3;1;70;1;999;1180;4.4
34;11700;30353;5;3;1;66;0;1422;1195;3.7
35;11900;126000;5;3;1;66;0;1422;1205;3.7
36;11949;57500;5;3;1;70;1;999;1180;4.4
37;11890;73945;5;3;1;70;1;999;1110;4.4
38;11600;96000;5;2;1;66;0;1422;1195;3.7
39;11900;43120;5;3;2;60;0;999;1110;4.2
40;11630;110715;5;3;1;66;0;1422;1180;4.4
41;11880;31971;5;3;1;60;1;999;1110;4.4
42;11800;94800;5;3;1;66;1;1422;1180;3.4
43;11850;85000;5;3;1;66;1;1422;1180;3.4
44;11569;111265;5;3;1;66;0;1422;1180;4.4
45;11490;44120;5;3;1;66;0;1422;1135;3.6
46;11490;97976;5;3;1;70;0;999;1110;4.2
47;11500;106000;5;3;1;66;0;1422;1195;3.7
48;11790;60000;5;3;0;85;0;1598;1250;3.7
49;11490;58000;5;3;2;60;1;999;1180;4.4
50;11470;57454;5;3;1;60;1;999;1675;4.4
51;11480;94055;5;3;1;66;0;1422;1180;4.4
52;11180;56000;5;3;1;70;0;999;1135;4.2
53;11450;27600;5;3;1;70;0;999;1135;4.2
54;11100;111670;5;3;1;85;0;1598;1250;3
55;10900;30500;5;3;1;66;0;1422;1180;3.8
56;10999;69500;5;2;1;70;0;999;1180;4.4
57;10900;43500;5;3;1;60;0;999;1180;4.2
58;10950;45696;5;3;1;70;0;999;1135;4.4
59;10800;34000;5;3;2;66;0;1422;1165;3.8
60;10600;55000;5;3;2;70;0;999;1110;4.2
61;10800;99000;5;3;1;66;0;1422;1205;3.7
62;9950;118500;5;3;1;70;1;999;1110;4.4
63;10300;85000;5;3;1;70;0;999;1135;4.2
64;10000;192000;5;3;1;85;1;1598;1250;3.9
65;10490;130000;5;3;1;66;1;1422;1180;3.9
66;18900;41294;7;3;1;71;0;999;1065;4.4
