price;km;Fuel;Gears;age;Previous_Owners;hp_kW;Inspection_new;Displacement_cc;Weight_kg;cons_comb
15770;56013;Diesel;7;3;2;66;1;1422;1220;3.8
14500;80000;Benzine;7;2;1;141;0;1798;1255;5.6
14640;83450;Diesel;7;3;1;85;0;1598;1135;3.8
14500;73000;Diesel;6;3;1;66;0;1422;1195;3.8
16790;16200;Diesel;7;3;1;66;1;1422;1135;4.1
15090;63668;Diesel;7;3;1;85;0;1598;1135;3.5
16422;62111;Diesel;7;3;1;85;1;1598;1195;3.7
14480;14986;Diesel;7;3;1;66;1;1422;1180;3.7
16700;57000;Diesel;7;3;1;85;0;1598;1275;3.7
17990;16103;Benzine;7;2;1;70;0;999;1135;4.2
18500;11300;Diesel;7;1;1;85;0;1598;1250;4
17990;26415;Benzine;7;3;1;92;1;1395;1135;4.9
18380;31600;Benzine;7;3;1;92;0;1395;1135;4.9
18399;45764;Benzine;7;3;1;112;0;1395;1135;4.2
17990;34914;Benzine;7;3;1;70;0;999;1135;4.2
18700;27000;Diesel;7;3;1;85;0;1598;1275;3.7
18900;9752;Diesel;5;1;1;85;0;1598;1175;3.5
18500;28408;Diesel;7;2;1;66;0;1422;1220;3.8
18400;50280;Benzine;7;3;1;70;0;999;1065;4.5
18500;13406;Diesel;7;1;1;85;0;1598;1135;3.8
18500;51160;Diesel;7;2;1;85;0;1598;1275;4
18500;15850;Benzine;7;3;1;92;1;1395;1180;4.9
18900;17000;Benzine;7;3;1;92;0;1395;1190;4.9
18850;9077;Diesel;7;1;1;85;0;1598;1630;3.7
18500;3000;Benzine;7;1;1;70;0;999;1165;4.4
8999;115000;Benzine;5;3;1;70;0;999;1135;4.2
11444;84029;Benzine;5;3;1;70;1;999;1180;4.2
11300;67800;Benzine;5;3;1;70;0;999;1135;4.2
18900;14556;Diesel;7;1;1;66;0;1422;1135;4.3
11290;22000;Benzine;5;3;1;70;0;999;1180;4.4
11290;38400;Diesel;5;3;1;66;0;1422;1195;3
11440;83307;Diesel;5;3;1;66;0;1422;1195;3.6
11445;39668;Benzine;5;3;1;70;1;999;1180;4.4
11700;30353;Diesel;5;3;1;66;0;1422;1195;3.7
11900;126000;Diesel;5;3;1;66;0;1422;1205;3.7
11949;57500;Benzine;5;3;1;70;1;999;1180;4.4
11890;73945;Benzine;5;3;1;70;1;999;1110;4.4
11600;96000;Diesel;5;2;1;66;0;1422;1195;3.7
11900;43120;Benzine;5;3;2;60;0;999;1110;4.2
11630;110715;Diesel;5;3;1;66;0;1422;1180;4.4
11880;31971;Benzine;5;3;1;60;1;999;1110;4.4
11800;94800;Diesel;5;3;1;66;1;1422;1180;3.4
