make_model;body_type;price;vat;km;Type;Fuel;Gears;Comfort_Convenience;Entertainment_Media;Extras;Safety_Security;age;Previous_Owners;hp_kW;Inspection_new;Paint_Type;Upholstery_type;Gearing_Type;Displacement_cc;Weight_kg;Drive_chain;cons_comb
Audi A1;Sedans;15770;VAT deductible;56013;Used;Diesel;7;Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;Bluetooth,Hands-free equipment,On-board computer,Radio;Alloy wheels,Catalytic Converter,Voice Control;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;2;66;1;Metallic;Cloth;Automatic;1422;1220;front;3.8
Audi A1;Sedans;14500;Price negotiable;80000;Used;Benzine;7;Air conditioning,Automatic climate control,Hill Holder,Leather steering wheel,Lumbar support,Parking assist system sensors rear,Power windows,Start-stop system,Tinted windows;Bluetooth,Hands-free equipment,On-board computer,Radio,Sound system;Alloy wheels,Sport seats,Sport suspension,Voice Control;ABS,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;2;1;141;0;Metallic;Cloth;Automatic;1798;1255;front;5.6
Audi A1;Sedans;14640;VAT deductible;83450;Used;Diesel;7;Air conditioning,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Seat heating,Start-stop system;MP3,On-board computer;Alloy wheels,Voice Control;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;85;0;Metallic;Cloth;Automatic;1598;1135;front;3.8
Audi A1;Sedans;14500;VAT deductible;73000;Used;Diesel;6;Air suspension,Armrest,Auxiliary heating,Electrical side mirrors,Heads-up display,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,Sound system,USB;Alloy wheels,Sport seats,Voice Control;ABS,Alarm system,Central door lock with remote control,Driver drowsiness detection,Driver-side airbag,Electronic stability control,Emergency system,Head airbag,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system;3;1;66;0;Metallic;Cloth;Automatic;1422;1195;front;3.8
Audi A1;Sedans;16790;VAT deductible;16200;Used;Diesel;7;Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Multi-function steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB;Alloy wheels,Sport package,Sport suspension,Voice Control;ABS,Central door lock,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;1;66;1;Metallic;Cloth;Automatic;1422;1135;front;4.1
Audi A1;Sedans;15090;VAT deductible;63668;Used;Diesel;7;Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Keyless central door lock,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;Bluetooth,Hands-free equipment,On-board computer,Radio,Sound system,USB;Alloy wheels,Sport package,Sport seats,Sport suspension;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;3;1;85;0;Metallic;Part/Full Leather;Automatic;1598;1135;front;3.5
Audi A1;Station wagon;16422;VAT deductible;62111;Used;Diesel;7;Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Start-stop system;Bluetooth,CD player,Hands-free equipment,On-board computer,Radio,Sound system,USB;Alloy wheels,Sport package,Sport seats,Sport suspension;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Xenon headlights;3;1;85;1;Metallic;Part/Full Leather;Automatic;1598;1195;front;3.7
Audi A1;Compact;14480;VAT deductible;14986;Used;Diesel;7;Air conditioning,Armrest,Electrical side mirrors,Light sensor,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;CD player,MP3,Radio;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control;3;1;66;1;Metallic;Cloth;Automatic;1422;1180;front;3.7
Audi A1;Sedans;16700;VAT deductible;57000;Used;Diesel;7;Air conditioning,Power windows;Radio;Alloy wheels;ABS,Central door lock,Driver-side airbag,Electronic stability control,Immobilizer,Passenger-side airbag,Power steering,Side airbag,Traction control;3;1;85;0;Metallic;Cloth;Automatic;1598;1275;front;3.7
Audi A1;Sedans;17990;VAT deductible;16103;Used;Benzine;7;Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system;Radio;Alloy wheels;ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights;2;1;70;0;Metallic;Cloth;Automatic;999;1135;front;4.2
